,prompt,generation_prompt,title,register_tag,category,fixed_tag,filename,upscale_filename
0,中央に寄り添う夫婦がリビングテーブルの前に立ち、互いに体を向け合っている。妻は片手で資料を掲げ、指先でポイントを示し、夫は片腕を腰に当てつつもう片手を顎に当てる。二人とも軽く羽織ったニットで、身体の動きが揃い、お互いに理解した瞬間を共有している。背景は存在せず、余白を大きく取り、顔は描かれずシンプルなラインだけで感情を暗示する。,"A high-quality illustration depicts a couple standing close together in the center, facing each other in front of a living room table. The wife holds a document in one hand, indicating a point with her fingertip. The husband stands with one arm on his waist, the other hand thoughtfully on his chin. Both wear lightweight knitted garments and their movements align, capturing the shared moment of understanding. The background is absent, allowing for ample negative space. Their faces are not depicted, relying on simple lines to subtly suggest emotion. No logos or company names are included.",リビングで書類について話し合う夫婦の共感的瞬間を描いた線画イラスト,"夫婦,カップル,リビング,書類,説明,共感,やり取り,コミュニケーション,意思疎通,理解,ノンバーバル,シンプル,線画,感情,雰囲気,家族,日常,テーブル,話し合い,軽い服装,ニット,男性,女性,横顔,ライフスタイル,室内,クローズアップ,イラスト,背景なし,ネガティブスペース,顔なし,シンプルデザイン,夫,妻,会話,ポーズ,資料,アート,表現,ホワイトスペース,アイコン風,説明資料,相談",12,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,リビング,書類,説明,共感,やり取り,コミュニケーション,意思疎通,理解,ノンバーバル,シンプル,線画,感情,雰囲気,家族,日常,テーブル,話し合い,軽い服装,ニット,男性,女性,横顔,ライフスタイル,室内,クローズアップ,イラスト,背景なし,ネガティブスペース,顔なし,シンプルデザイン,夫,妻,会話,ポーズ,資料,アート,表現,ホワイトスペース,アイコン風,説明資料,相談",000_リビングで書類について話し合う夫婦の共感的瞬間を描いた線画イラスト.png,upscaled_000_2025-07-21T13-23.png
1,ソファに並んで座る夫婦。妻は手元の本を開きつつ膝を軽く持ち上げ、夫は隣でひざ掛けを腰に掛けながら前傾姿勢になる。妻が本の一節を指で示し、夫は頷きながら軽く拳を握る。二人の体の輪郭だけが黒いラインで描かれ、背景はなく、余白が二人の集中を際立たせる。,"A husband and wife sitting side by side on a sofa in a moment of understanding and revelation. The wife, with her legs slightly raised, holds an open book in her hands. She points at a passage with her finger, capturing the attention of her husband beside her. The husband leans forward, a throw blanket around his waist, nodding in agreement while lightly clenching a fist. The couple’s bodies are outlined in simple black lines, devoid of any detailed features. The background is intentionally left blank, highlighting their shared focus and connection. The absence of any corporate logos or brand names ensures a pure, timeless depiction of their moment.",夫婦の理解と絆を表すソファでの読書の瞬間を描くシンプルイラスト,"夫婦,読書,ソファ,理解,共感,絆,夫,妻,手振り,本,コミュニケーション,シンプル,ミニマル,ラインアート,無地背景,家族,リビング,インテリア,大人,日常,生活,集中,対話,リアクション,発見,応答,やさしさ,癒し,温かみ,白黒,抽象,静けさ,関係,カップル,指差し,ブランケット,表情,説明,共通理解,落ち着き,無名",12,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,読書,ソファ,理解,共感,絆,夫,妻,手振り,本,コミュニケーション,シンプル,ミニマル,ラインアート,無地背景,家族,リビング,インテリア,大人,日常,生活,集中,対話,リアクション,発見,応答,やさしさ,癒し,温かみ,白黒,抽象,静けさ,関係,カップル,指差し,ブランケット,表情,説明,共通理解,落ち着き,無名",001_夫婦の理解と絆を表すソファでの読書の瞬間を描くシンプルイラスト.png,upscaled_001_2025-07-21T13-23.png
2,キッチンカウンター越しに向かい合う夫婦。妻は片手でコップを置き、もう片方の手で計算式を示したホワイトボードのフチを指す。夫は足を一歩踏み出し、腕を組んで考えながらにっこり笑うような姿勢。顔の輪郭はなく、手足のラインとわずかなシルエットだけでやりとりを表現し、背景は完全に白く余白の中に浮かんでいる。,"A high-quality illustration depicting a moment of understanding and realization between a husband and wife across a kitchen counter. The wife is placing a cup on the counter with one hand while pointing to the edge of a whiteboard with mathematical equations with the other hand. The husband is taking a step forward, arms crossed, smiling thoughtfully. The faces of the characters are not detailed, with only the lines of their limbs and a subtle silhouette expressing their interaction. The background is entirely white, making the couple seem to float within the empty space. No logos or company names should be included.",キッチンカウンター越しに理解し合う夫婦の抽象的イラストと数学的思考,"夫婦,理解,キッチン,カウンター,コミュニケーション,会話,抽象,イラスト,白背景,浮遊感,微笑み,シルエット,線画,数学,ホワイトボード,方程式,思考,知識,教育,夫,妻,家族,シンプル,ミニマル,空間,ジェスチャー,手振り,日常生活,家庭,温かい,指差し,現代的,スマート,静か,優しさ,関係性,共感,愛情,協力,直感,理解の瞬間,スマイル,新しい発見,",12,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,理解,キッチン,カウンター,コミュニケーション,会話,抽象,イラスト,白背景,浮遊感,微笑み,シルエット,線画,数学,ホワイトボード,方程式,思考,知識,教育,夫,妻,家族,シンプル,ミニマル,空間,ジェスチャー,手振り,日常生活,家庭,温かい,指差し,現代的,スマート,静か,優しさ,関係性,共感,愛情,協力,直感,理解の瞬間,スマイル,新しい発見,",002_キッチンカウンター越しに理解し合う夫婦の抽象的イラストと数学的思考.png,upscaled_002_2025-07-21T13-23.png
3,床に敷いたブランケットの上で向かい合う夫婦が膝立ちしている。妻は両手でタブレットを軽く持ち上げ、画面を夫に向け、夫は片手を開いて画面を指さしながら反応している。二人の髪型や服装のアウトラインのみをシンプルな線で描き、背景は省略。ネガティブスペースが二人の絆を引き立てる。,A couple is kneeling on a blanket facing each other. The wife lightly holds a tablet with both hands and shows its screen to her husband. The husband reacts by pointing at the screen with an open hand. Both the wife's and husband's hairstyles and clothing are drawn with simple outlines. The background is omitted to focus on the couple. Negative space is used to enhance the connection between them. Ensure to exclude any real company logos or names from the illustration.,ブランケットの上でタブレットを見せ合う仲睦まじい夫婦のイラスト,"夫婦,カップル,男女,タブレット,デジタル,デバイス,コミュニケーション,交流,シンプル,アウトライン,線画,ファミリー,家庭,日常,スマート機器,座る,リラックス,会話,愛情,つながり,ポジティブ,テクノロジー,イラスト,背景なし,負のスペース,ミニマル,ジェスチャー,微笑み,仲良し,幸福,見せる,提案,指差し,新しい体験,共感,大人,現代,ハグなし,夫,妻,クリエイティブ",12,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,男女,タブレット,デジタル,デバイス,コミュニケーション,交流,シンプル,アウトライン,線画,ファミリー,家庭,日常,スマート機器,座る,リラックス,会話,愛情,つながり,ポジティブ,テクノロジー,イラスト,背景なし,負のスペース,ミニマル,ジェスチャー,微笑み,仲良し,幸福,見せる,提案,指差し,新しい体験,共感,大人,現代,ハグなし,夫,妻,クリエイティブ",003_ブランケットの上でタブレットを見せ合う仲睦まじい夫婦のイラスト.png,upscaled_003_2025-07-21T13-23.png
4,ダイニングチェアに腰掛けた夫婦が背筋を伸ばして対面している。テーブルの中央に置かれた設計図に妻が人差し指を乗せ、夫はペンを持って顎の下に当てている。二人の姿は手描き風のクリーンなラインのみで表現され、背景は完全に白いまま。余白が、理解のひらめきの瞬間を静かに際立たせている。,"A clean line drawing depicts a couple sitting across from each other at a dining table with good posture. The scene emphasizes clarity and simplicity, as their figures are rendered in a hand-drawn style with only lines. The background is entirely white, preserving a sense of openness and focus on the characters. The wife touches the blueprint placed at the center of the table with her index finger, suggesting revelation or understanding, while the husband thoughtfully holds a pen under his chin, embodying contemplation. The empty space around them subtly highlights the moment of comprehension.",シンプルな線画で食卓に向き合う夫婦の理解の瞬間を表現したイラスト,"夫婦,線画,食卓,理解,シンプル,清潔感,コミュニケーション,ブループリント,手描き,白背景,集中,発見,思考,ミニマル,アイデア,日常生活,現代,ライフスタイル,対話,インテリア,落ち着き,余白,知性,学び,設計図,創造性,コンセプト,大人,夫,妻,手指,文房具,ペン,家族,空間,コラボレーション,穏やか,目的,発想,会話,ヒューマンストーリー,幸福,一緒,発展",12,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,線画,食卓,理解,シンプル,清潔感,コミュニケーション,ブループリント,手描き,白背景,集中,発見,思考,ミニマル,アイデア,日常生活,現代,ライフスタイル,対話,インテリア,落ち着き,余白,知性,学び,設計図,創造性,コンセプト,大人,夫,妻,手指,文房具,ペン,家族,空間,コラボレーション,穏やか,目的,発想,会話,ヒューマンストーリー,幸福,一緒,発展",004_シンプルな線画で食卓に向き合う夫婦の理解の瞬間を表現したイラスト.png,upscaled_004_2025-07-21T13-23.png
5,公園のベンチに並んで座る夫婦。妻はノートを開き、ペンでメモを取る仕草をしながら笑顔を浮かべ、夫は片手でノートを支えつつ軽く後ろに寄りかかり、肩越しにノートを覗き込んでいる。顔は描かれず、二人の動きと配置だけが、理解の喜びをシンプルに語る。背景なし、余白が緑の感覚を漂わせる。,"A high-quality illustration depicting a couple sitting on a park bench, capturing the moment of realization and understanding. The wife is on the left, her face is not shown, with a gentle smile, as she gestures writing in an open notebook with a pen. She has an expression of joy as she makes a note of something important. Her husband sits beside her on the right, also with his face not shown, leaning slightly back with a relaxed posture. He holds the notebook with one hand, peering over her shoulder to glance at what she is writing. Their movements and arrangement convey the simplicity and joy of shared understanding without showing their facial expressions. The background is absent, allowing a sense of greenery to fill the negative space, signifying the park setting.",公園のベンチで寄り添い理解し合う夫婦の静かな時間,"夫婦,カップル,公園,ベンチ,ノート,ペン,ジェスチャー,コミュニケーション,緑,シンプル,理解,共感,喜び,幸せ,リラックス,笑顔,書く,生活,日常,ペア,ライフスタイル,愛,パートナー,共有,安らぎ,家族,絆,平和,穏やか,背中,シルエット,情景,手,自然,グリーン,休日,休憩,交流,思いやり,心,関係,無表情,顔なし,現代",12,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,公園,ベンチ,ノート,ペン,ジェスチャー,コミュニケーション,緑,シンプル,理解,共感,喜び,幸せ,リラックス,笑顔,書く,生活,日常,ペア,ライフスタイル,愛,パートナー,共有,安らぎ,家族,絆,平和,穏やか,背中,シルエット,情景,手,自然,グリーン,休日,休憩,交流,思いやり,心,関係,無表情,顔なし,現代",005_公園のベンチで寄り添い理解し合う夫婦の静かな時間.png,upscaled_005_2025-07-21T13-23.png
6,フローリングの床に座り、足を崩して寄り添う夫婦。妻は膝上に開いた資料を広げ、もう片方の手を資料のポイントに添え、夫は両手を合わせて胸の前で喜びを表している。服のシルエットと手足の線のみで描写し、顔のディテールは省略。背景はなく、余白が二人の理解の高揚を際立たせる。,"A minimalistic illustration showcases a couple sitting on a wooden floor. They sit cross-legged, leaning against each other. The wife has an opened document spread across her lap, with one hand pointing at a specific section on the document. The husband shows delight, clasping his hands together in front of his chest. Their clothing silhouettes and limbs are drawn with simple lines, leaving facial features absent. There is no background, allowing the empty space around them to enhance the sense of their moment of understanding and joy. The illustration refrains from including any real company logos or names.",シンプルな線画で表現された木の床で書類を広げて夫婦が理解し合う瞬間,"夫婦,カップル,木の床,書類,ミニマリズム,イラスト,線画,シルエット,シンプル,背景なし,コミュニケーション,理解,喜び,幸せ,日常,生活,感情,手を指す,寄り添う,膝を組む,アイコン風,家族,パートナーシップ,ラブ,手,リラックス,親密,表情なし,現代的,和やか,愛情,共同作業,紙,座る,家庭,対話,サポート,男女,雰囲気,抽象,ジェスチャー,静寂",12,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,木の床,書類,ミニマリズム,イラスト,線画,シルエット,シンプル,背景なし,コミュニケーション,理解,喜び,幸せ,日常,生活,感情,手を指す,寄り添う,膝を組む,アイコン風,家族,パートナーシップ,ラブ,手,リラックス,親密,表情なし,現代的,和やか,愛情,共同作業,紙,座る,家庭,対話,サポート,男女,雰囲気,抽象,ジェスチャー,静寂",006_シンプルな線画で表現された木の床で書類を広げて夫婦が理解し合う瞬間.png,upscaled_006_2025-07-21T13-23.png
7,ワークデスクを共有する夫婦。妻はPCモニターの隣でタブレットを抱え、スクリーンを指差し、夫は片肘をモニターにつきながらうなずく。二人の体勢は自然でリラックスしつつも集中しており、顔は描かれず、クリーンなラインと余白だけでシーンを構成している。,"A high-quality illustration depicting a couple sharing a work desk, conveying the moment of clarity and understanding. The wife is holding a tablet next to a PC monitor, pointing at the screen with one hand. The husband, on the other hand, is resting one elbow on the monitor, nodding in agreement. Both individuals have natural and relaxed yet focused postures. The couple's faces are not shown. The composition is built with clean lines and ample negative space, creating a minimalist scene. No corporate logos or company names are included in the illustration.",夫婦が共用デスクで協力し合いアイデアを共有するミニマルな仕事風景イラスト,"夫婦,仕事,デスク,共有,協力,アイデア,コミュニケーション,PC,タブレット,理解,同意,ミニマル,クリーン,ネガティブスペース,オフィス,カップル,ビジネス,会議,打ち合わせ,プロジェクト,スマート,洗練,現代的,大人,男女,部分的,手元,指差し,自然体,集中,リラックス,顔なし,ノンバーバル,電子機器,シンプル,精密,洗練された,現代社会,関係性,ワークライフ,空間設計",3,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,仕事,デスク,共有,協力,アイデア,コミュニケーション,PC,タブレット,理解,同意,ミニマル,クリーン,ネガティブスペース,オフィス,カップル,ビジネス,会議,打ち合わせ,プロジェクト,スマート,洗練,現代的,大人,男女,部分的,手元,指差し,自然体,集中,リラックス,顔なし,ノンバーバル,電子機器,シンプル,精密,洗練された,現代社会,関係性,ワークライフ,空間設計",007_夫婦が共用デスクで協力し合いアイデアを共有するミニマルな仕事風景イラスト.png,upscaled_007_2025-07-21T13-23.png
8,寝室のベッドサイドで向き合う夫婦。妻はベッドに前傾しながら手元の本を持ち、指で段落を示し、夫はベッドの端で片膝を立て、本を覗き込む。二人とも顔は描かれず、シンプルなアウトラインで体の動きから理解の瞬間を表現。背景は白のまま余白に包まれている。,"A minimalistic illustration capturing an intimate moment between a couple in a bedroom. The setting features a bedside scene, with the wife leaning forward on the bed, holding a book in her hand. Her finger points to a specific paragraph in the book, suggesting explanation or revelation. The husband is positioned at the edge of the bed, with one knee raised, leaning in to peer into the book, showing curiosity and engagement. Both figures are faceless, represented with simple outlines, emphasizing body language to convey a moment of understanding or realization. The background is purposefully left white, encasing the scene in ample negative space, enhancing the focus on the interaction. The illustration excludes any corporate logos or names, allowing the emphasis to remain solely on the human element and the shared moment of discovery.",ベッドルームで親密なひとときを共有する夫婦のミニマルイラスト,"夫婦,寝室,ミニマリズム,イラスト,白背景,本,読書,シンプル,ラインアート,親密,パートナー,家庭,指差し,対話,関係性,コミュニケーション,カップル,共感,日常,モノクロ,家具,ベッド,夫,妻,リビング,静寂,発見,理解,瞬間,ストーリー,説明,感動,表現,生活,共通体験,クリエイティブ,手,ジェスチャー,集中,愛情,ストックイラスト,説明,教育的,共有",12,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,寝室,ミニマリズム,イラスト,白背景,本,読書,シンプル,ラインアート,親密,パートナー,家庭,指差し,対話,関係性,コミュニケーション,カップル,共感,日常,モノクロ,家具,ベッド,夫,妻,リビング,静寂,発見,理解,瞬間,ストーリー,説明,感動,表現,生活,共通体験,クリエイティブ,手,ジェスチャー,集中,愛情,ストックイラスト,説明,教育的,共有",008_ベッドルームで親密なひとときを共有する夫婦のミニマルイラスト.png,upscaled_008_2025-07-21T13-23.png
9,玄関マットの上で立ち止まる夫婦。妻は一歩夫に近づき、手に持った地図やメモを夫に差し出し、夫は軽く足を開き、片手を差し出して受け取りながら微笑むようなポーズ。顔の描写は省き、服装や体のバランスのみを線画で示し、背景はなく余白が行動の瞬間を強調する。,"A couple standing on a doormat, captured in a moment of understanding and resolution. The wife takes a step closer to her husband, extending a map or note towards him. The husband stands with feet slightly apart, reaching out to receive it with a gentle smile. The illustration focuses on their clothing and body posture, rendered in line art without detailed facial features. There are no logos or company names present. No background, just empty space accentuating the moment of interaction and emotion between the couple.",玄関マットの上で和解し理解を示す夫婦の手紙の瞬間イラスト,"夫婦,カップル,和解,理解,コミュニケーション,玄関,ドアマット,手紙,メモ,マップ,ステップ,ジェスチャー,優しさ,微笑み,ラインアート,イラスト,服装,体の動き,表情なし,背景なし,空間,距離,歩み寄り,関係,ドラマ,感情,変化,仲直り,人間関係,パートナー,シンプル,モノクロ,日常,夫,妻,対話,やりとり,穏やか,平和,男女,描写,姿勢",13,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,和解,理解,コミュニケーション,玄関,ドアマット,手紙,メモ,マップ,ステップ,ジェスチャー,優しさ,微笑み,ラインアート,イラスト,服装,体の動き,表情なし,背景なし,空間,距離,歩み寄り,関係,ドラマ,感情,変化,仲直り,人間関係,パートナー,シンプル,モノクロ,日常,夫,妻,対話,やりとり,穏やか,平和,男女,描写,姿勢",009_玄関マットの上で和解し理解を示す夫婦の手紙の瞬間イラスト.png,upscaled_009_2025-07-21T13-23.png
